"xops time, in-progress, since 2023-06-08"
label,total_in_progress
xops_carholder_assorted,316821.826
xops_training_tracks,172800
xops_enable_remittances,139622.944
xops_ch_change_name,37024.096000000005
xops_new_packet,25311.161
xops_remove_profile,5078.728000000001
xops_paystubs,4055.556
xops_company_employee_id_counter,3431.28
xops_ch_portal,1814.325
xops_ch_message_troubleshoot,1348.944
xops_packet_update,1235.7930000000001
xops_ch_sms_whatsapp,33.577
xops_raffle,0
xops_reports,0
xops_remove_incomplete_packetsxops_new_packet,0
